host_listings_count,review_scores_rating,neighbourhood_cleansed,property_type,accommodates,room_type,bedrooms,beds,price,minimum_nights,bathrooms_text,maximum_nights,number_of_reviews,latitude,longitude
2.0,4.620987361262592,Camorim,Entire serviced apartment,2,Entire home/apt,1.0,0.0,240.0,1,1.0,365,0,-22.9765,-43.41281
2.0,4.620987361262592,Camorim,Entire loft,4,Entire home/apt,0.0,2.0,420.0,1,1.0,365,0,-22.97522,-43.41512
1.0,4.94,Jacarepaguá,Entire serviced apartment,2,Entire home/apt,1.0,2.0,258.0,1,1.0,1125,17,-22.96383,-43.4
1.0,4.620987361262592,Glória,Private room in rental unit,3,Private room,0.0,1.0,110.0,1,1.0,1125,0,-22.92087,-43.1794
2.0,4.620987361262592,Copacabana,Shared room in rental unit,2,Shared room,1.0,2.0,900.0,1,1.0,1,0,-22.97884,-43.19199
0.0,4.620987361262592,Humaitá,Entire rental unit,2,Entire home/apt,1.0,1.0,300.0,2,1.0,10,0,-22.95728,-43.20092
0.0,4.620987361262592,Taquara,Shared room in condominium (condo),1,Shared room,1.0,0.0,60.0,1,1.0,1125,0,-22.9284,-43.38909
2.0,5.0,Copacabana,Entire condominium (condo),4,Entire home/apt,2.0,2.0,1200.0,2,2.0,1125,4,-22.98289,-43.19154
2.0,5.0,Campo Grande,Entire residential home,5,Entire home/apt,3.0,5.0,150.0,3,1.0,1125,2,-22.89671,-43.56689
102.0,4.75,Barra da Tijuca,Entire rental unit,4,Entire home/apt,2.0,2.0,1271.0,1,2.0,1125,32,-23.01086,-43.3586
0.0,5.0,Leme,Private room in rental unit,2,Private room,1.0,1.0,219.0,3,1.0,180,1,-22.96354,-43.17301
1.0,4.620987361262592,Copacabana,Private room in rental unit,2,Private room,1.0,1.0,103.0,2,1.0,1125,0,-22.96297,-43.17878
0.0,4.75,Barra da Tijuca,Entire rental unit,4,Entire home/apt,2.0,2.0,200.0,1,1.0,120,4,-23.00662,-43.42882
40.0,4.5,Copacabana,Entire rental unit,6,Entire home/apt,4.0,6.0,1886.0,5,3.0,1125,2,-22.97978,-43.19025
1.0,4.620987361262592,São Francisco Xavier,Private room in residential home,2,Private room,1.0,1.0,72.0,2,1.0,15,0,-22.89868,-43.24155
0.0,4.620987361262592,Flamengo,Private room in rental unit,1,Private room,1.0,1.0,100.0,7,1.0,30,0,-22.93518,-43.1785
3.0,4.620987361262592,Itanhangá,Private room in guest suite,4,Private room,1.0,3.0,500.0,2,1.0,1125,0,-22.99605,-43.32066
0.0,4.620987361262592,Leblon,Entire rental unit,2,Entire home/apt,1.0,1.0,544.0,3,2.0,60,0,-22.98649,-43.22296
0.0,5.0,Bento Ribeiro,Entire residential home,10,Entire home/apt,3.0,10.0,150.0,5,3.0,1125,1,-22.86348,-43.35765
14.0,4.620987361262592,Copacabana,Entire rental unit,8,Entire home/apt,3.0,3.0,550.0,3,3.0,1125,0,-22.97427,-43.18692
0.0,4.620987361262592,Camorim,Entire rental unit,2,Entire home/apt,1.0,1.0,180.0,10,1.0,90,0,-22.97593,-43.41554
4.0,5.0,Leblon,Entire rental unit,4,Entire home/apt,2.0,3.0,1157.0,5,3.0,180,9,-22.98517,-43.22918
2.0,4.86,Bangu,Entire rental unit,4,Entire home/apt,2.0,3.0,160.0,2,1.0,180,14,-22.85318,-43.48069
0.0,5.0,Gávea,Private room in rental unit,1,Private room,1.0,1.0,120.0,2,1.0,1125,1,-22.97829,-43.22868
1.0,5.0,Copacabana,Entire rental unit,3,Entire home/apt,0.0,2.0,130.0,3,1.0,90,3,-22.96875,-43.18456
1.0,4.620987361262592,Santa Teresa,Entire residential home,1,Entire home/apt,0.0,3.0,200.0,2,0.0,4,0,-22.92761,-43.19311
2.0,4.620987361262592,Vidigal,Entire rental unit,6,Entire home/apt,2.0,4.0,949.0,2,1.0,1125,0,-22.99201,-43.23666
0.0,4.620987361262592,Copacabana,Entire rental unit,6,Entire home/apt,2.0,3.0,681.0,1,2.0,365,0,-22.97293,-43.1907
2.0,5.0,Botafogo,Entire rental unit,5,Entire home/apt,2.0,2.0,290.0,2,2.0,1125,3,-22.94991,-43.18263
2.0,5.0,Copacabana,Entire rental unit,4,Entire home/apt,1.0,1.0,371.0,2,1.0,15,2,-22.9644,-43.19296
0.0,4.620987361262592,Barra da Tijuca,Entire residential home,2,Entire home/apt,0.0,0.0,341.0,2,1.0,1125,0,-23.00406,-43.30846
0.0,4.620987361262592,Rio Comprido,Entire condominium (condo),2,Entire home/apt,2.0,2.0,80.0,31,3.0,31,0,-22.92399,-43.20319
1.0,5.0,Copacabana,Entire rental unit,3,Entire home/apt,1.0,3.0,219.0,2,2.0,1125,1,-22.96644,-43.18283
0.0,4.620987361262592,Jacarepaguá,Entire condominium (condo),6,Entire home/apt,2.0,5.0,385.0,3,2.0,1125,0,-22.97097,-43.35964
1.0,4.620987361262592,Catete,Entire rental unit,1,Entire home/apt,1.0,1.0,200.0,5,1.0,1125,0,-22.92888,-43.17841
9.0,4.64,Copacabana,Entire residential home,16,Entire home/apt,7.0,7.0,3098.0,2,7.0,60,28,-22.98302,-43.1948
18.0,4.81,Jacarepaguá,Entire rental unit,2,Entire home/apt,1.0,2.0,565.0,2,1.0,1125,42,-22.96925,-43.38927
0.0,4.620987361262592,Rocinha,Private room in rental unit,2,Private room,1.0,1.0,70.0,1,1.0,1125,0,-22.99189,-43.25119
0.0,4.620987361262592,Barra da Tijuca,Private room in rental unit,2,Private room,1.0,0.0,106.0,1,1.0,14,0,-23.00113,-43.42213
19.0,4.620987361262592,Botafogo,Private room in guesthouse,1,Private room,1.0,1.0,103.0,5,1.0,1125,0,-22.95843,-43.18938
0.0,4.96,Paquetá,Entire residential home,7,Entire home/apt,3.0,4.0,971.0,3,3.0,1125,23,-22.76639,-43.10593
0.0,4.620987361262592,Copacabana,Entire rental unit,5,Entire home/apt,0.0,4.0,350.0,10,1.0,1125,0,-22.96499,-43.18007
2.0,4.620987361262592,Centro,Private room in rental unit,3,Private room,0.0,2.0,84.0,3,1.0,1125,0,-22.9104,-43.17581
0.0,4.620987361262592,Ipanema,Entire rental unit,3,Entire home/apt,2.0,2.0,361.0,3,1.0,6,0,-22.98281,-43.19811
0.0,4.620987361262592,Jacarepaguá,Shared room in residential home,10,Shared room,1.0,10.0,85.0,7,3.0,1125,0,-22.9388,-43.38502
3.0,4.620987361262592,Recreio dos Bandeirantes,Private room in residential home,4,Private room,1.0,3.0,130.0,1,3.0,1125,0,-23.0296,-43.48295
10.0,4.56,Copacabana,Entire rental unit,2,Entire home/apt,1.0,1.0,213.0,2,1.0,180,18,-22.96217,-43.17568
1.0,4.620987361262592,Copacabana,Private room in rental unit,4,Private room,1.0,4.0,1500.0,3,1.0,3,0,-22.96328,-43.17811
0.0,3.0,Jacarepaguá,Entire condominium (condo),4,Entire home/apt,1.0,2.0,110.0,1,1.0,10,1,-22.96692,-43.41101
2.0,5.0,Ipanema,Entire rental unit,4,Entire home/apt,2.0,2.0,886.0,2,1.0,60,1,-22.98198,-43.20696
1.0,4.25,Botafogo,Entire rental unit,2,Entire home/apt,0.0,1.0,214.0,3,1.0,1125,61,-22.94702,-43.18197
